Crop,Fertilizer_kg,Labour_hours,Seed_rate,Est_Yield_kg_ha,Avg_Price_per_kg,Net_Profit
WHEAT,80.0,20.0,15.0,3234.0,,
RICE,80.0,20.0,15.0,3234.0,,
MAIZE,80.0,20.0,15.0,3234.0,,
COTTON,80.0,20.0,15.0,3234.0,,
SUGARCANE,80.0,20.0,15.0,3234.0,,
CHICKPEA,80.0,20.0,15.0,3234.0,,
PIGEONPEA,80.0,20.0,15.0,3234.0,,
GROUNDNUT,80.0,20.0,15.0,3234.0,,
